country_ch,country_en,cases,deaths
美國,United States,"101,302,406","1,128,734"
印度,India,"44,682,784","530,740"
法國,France,"39,524,311","164,233"
德國,Germany,"37,758,773","165,563"
巴西,Brazil,"36,824,580","697,074"
日本,Japan,"32,532,905","68,091"
韓國,South Korea,"30,176,646","33,444"
義大利,Italy,"25,453,789","186,833"
英國,United Kingdom,"24,274,361","204,171"
俄羅斯,Russia,"21,950,192","395,067"
土耳其,Turkey,"17,042,722","101,492"
西班牙,Spain,"13,731,478","118,434"
越南,Vietnam,"11,526,497","43,186"
澳洲,Australia,"11,295,446","18,615"
阿根廷,Argentina,"10,037,135","130,421"
臺灣,Taiwan,"9,537,823","16,308"
荷蘭,Netherlands,"8,581,421","22,989"
伊朗,Iran,"7,564,350","144,749"
墨西哥,Mexico,"7,368,252","332,198"
印尼,Indonesia,"6,730,016","160,814"
波蘭,Poland,"6,379,391","118,727"
哥倫比亞,Colombia,"6,356,309","142,486"
奧地利,Austria,"5,780,229","21,689"
希臘,Greece,"5,708,301","35,630"
葡萄牙,Portugal,"5,563,265","26,002"
烏克蘭,Ukraine,"5,370,131","111,020"
智利,Chile,"5,118,981","63,812"
馬來西亞,Malaysia,"5,036,593","36,942"
以色列,Israel,"4,786,189","12,193"
泰國,Thailand,"4,726,984","33,865"
比利時,Belgium,"4,691,499","33,557"
捷克,Czech Republic,"4,589,483","42,307"
加拿大,Canada,"4,550,256","50,380"
秘魯,Peru,"4,481,290","218,863"
瑞士,Switzerland,"4,407,915","14,009"
菲律賓,Philippines,"4,073,203","65,779"
南非,South Africa,"4,055,966","102,595"
羅馬尼亞,Romania,"3,325,006","67,576"
丹麥,Denmark,"3,219,876","8,194"
香港,Hong Kong,"2,876,825","13,353"
瑞典,Sweden,"2,693,458","23,279"
塞爾維亞,Serbia,"2,471,198","17,701"
伊拉克,Iraq,"2,465,545","25,375"
新加坡,Singapore,"2,217,110","1,722"
匈牙利,Hungary,"2,191,827","48,658"
紐西蘭,New Zealand,"2,136,662","2,477"
孟加拉,Bangladesh,"2,037,543","29,442"
斯洛伐克,Slovakia,"1,860,818","20,942"
喬治亞,Georgia,"1,814,180","16,926"
約旦,Jordan,"1,746,997","14,122"
愛爾蘭,Ireland,"1,700,253","8,462"
巴基斯坦,Pakistan,"1,576,294","30,640"
挪威,Norway,"1,477,856","5,112"
芬蘭,Finland,"1,458,619","8,639"
哈薩克,Kazakhstan,"1,405,848","13,695"
斯洛維尼亞,Slovenia,"1,321,579","7,056"
立陶宛,Lithuania,"1,296,493","9,541"
保加利亞,Bulgaria,"1,295,426","38,179"
摩洛哥,Morocco,"1,272,240","16,296"
克羅埃西亞,Croatia,"1,267,580","17,877"
黎巴嫩,Lebanon,"1,228,639","10,790"
瓜地馬拉,Guatemala,"1,227,853","20,106"
玻利維亞,Bolivia,"1,187,986","22,346"
哥斯大黎加,Costa Rica,"1,182,371","9,142"
突尼西亞,Tunisia,"1,150,356","29,308"
古巴,Cuba,"1,112,438","8,530"
厄瓜多,Ecuador,"1,051,239","35,942"
阿拉伯聯合大公國,UAE,"1,049,409","2,348"
烏拉圭,Uruguay,"1,032,710","7,609"
巴拿馬,Panama,"1,029,701","8,596"
尼泊爾,Nepal,"1,001,100","12,020"
白俄羅斯,Belarus,"994,037","7,118"
拉脫維亞,Latvia,"975,282","6,214"
沙烏地阿拉伯,Saudi Arabia,"827,962","9,574"
亞塞拜然,Azerbaijan,"827,944","10,085"
巴拉圭,Paraguay,"806,256","19,820"
巴勒斯坦,Palestine,"703,228","5,708"
巴林,Bahrain,"700,452","1,543"
斯里蘭卡,Sri Lanka,"671,989","16,828"
科威特,Kuwait,"662,858","2,570"
多明尼加,Dominican,"660,095","4,384"
賽普勒斯,Cyprus,"642,663","1,287"
緬甸,Myanmar,"633,820","19,490"
愛沙尼亞,Estonia,"613,891","2,912"
摩爾多瓦,Moldova,"598,673","11,953"
蒙古,Mongolia,"557,949","2,136"
委內瑞拉,Venezuela,"551,542","5,845"
埃及,Egypt,"515,645","24,613"
利比亞,Libya,"507,162","6,437"
中國大陸,China,"503,312","84,233"
衣索比亞,Ethiopia,"499,531","7,572"
卡達,Qatar,"492,482",686
宏都拉斯,Honduras,"470,757","11,104"
亞美尼亞,Armenia,"446,008","8,717"
波士尼亞與赫塞哥維納,Bosnia and Herzegovina,"401,381","16,254"
阿曼,Oman,"399,449","4,628"
北馬其頓,North Macedonia,"346,428","9,638"
肯亞,Kenya,"342,810","5,688"
尚比亞,Zambia,"340,582","4,046"
阿爾巴尼亞,Albania,"334,167","3,595"
波札那,Botswana,"329,227","2,800"
盧森堡,Luxembourg,"297,757","1,133"
模里西斯,Mauritius,"294,602","1,043"
蒙特內哥羅,Montenegro,"286,355","2,797"
汶萊,Brunei,"276,067",259
科索沃,Kosovo,"272,547","3,203"
阿爾及利亞,Algeria,"271,378","6,881"
奈及利亞,Nigeria,"266,463","3,155"
辛巴威,Zimbabwe,"261,606","5,652"
烏茲別克,Uzbekistan,"250,563","1,637"
莫三比克,Mozambique,"231,994","2,233"
寮國,Laos,"217,969",758
冰島,Iceland,"208,605",229
阿富汗,Afghanistan,"208,545","7,882"
吉爾吉斯,Kyrgyzstan,"206,592","2,991"
薩爾瓦多,El Salvador,"201,785","4,230"
千里達及托巴哥,Trinidad and Tobago,"187,585","4,319"
馬爾地夫,Maldives,"185,715",311
迦納,Ghana,"171,112","1,462"
納米比亞,Namibia,"170,741","4,088"
烏干達,Uganda,"170,328","3,630"
牙買加,Jamaica,"153,407","3,480"
柬埔寨,Cambodia,"138,693","3,056"
盧安達,Rwanda,"133,090","1,468"
喀麥隆,Cameroon,"123,993","1,965"
馬爾他,Malta,"117,062",824
巴貝多,Barbados,"106,157",571
安哥拉,Angola,"105,184","1,931"
剛果民主共和國,DR Congo,"95,514","1,463"
塞內加爾,Senegal,"88,902","1,971"
馬拉威,Malawi,"88,505","2,686"
象牙海岸,Ivory Coast,"87,982",833
蘇利南,Suriname,"82,020","1,398"
史瓦帝尼,Eswatini,"74,133","1,422"
蓋亞那,Guyana,"72,950","1,294"
貝里斯,Belize,"70,660",688
斐濟,Fiji,"68,820",883
馬達加斯加,Madagascar,"67,827","1,419"
蘇丹,Sudan,"63,742","5,001"
茅利塔尼亞,Mauritania,"63,664",997
維德角,Cape Verde,"63,229",413
不丹,Bhutan,"62,605",21
敘利亞,Syria,"57,453","3,164"
蒲隆地,Burundi,"52,162",38
塞席爾,Seychelles,"50,355",172
加彭,Gabon,"48,981",306
安道爾,Andorra,"47,839",165
巴布亞紐幾內亞,Papua New Guinea,"46,663",669
坦尚尼亞,Tanzania,"42,600",846
多哥,Togo,"39,354",290
幾內亞,Guinea,"38,240",467
巴哈馬,Bahamas,"37,491",833
賴索托,Lesotho,"34,790",723
海地,Haiti,"34,008",860
馬利,Mali,"32,783",743
聖露西亞,Saint Lucia,"29,803",409
貝南,Benin,"27,989",163
剛果共和國,Congo,"25,375",386
索羅門群島,Solomon islands,"24,575",153
聖馬利諾,San Marino,"23,427",122
東帝汶,East Timor,"23,415",138
密克羅尼西亞聯邦,Micronesia,"22,676",58
布吉納法索,Burkina Faso,"22,025",396
列支敦斯登,Liechtenstein,"21,340",89
格瑞那達,Grenada,"19,680",238
索馬利亞,Somalia,"18,863",930
南蘇丹,South Sudan,"18,368",138
塔吉克,Tajikistan,"17,786",125
赤道幾內亞,Equatorial Guinea,"17,190",183
東加,Tonga,"16,734",12
薩摩亞,Samoa,"16,087",29
摩納哥,Monaco,"16,056",65
多米尼克,Dominica,"15,760",74
吉布地,Djibouti,"15,690",189
馬紹爾群島,Marshall Islands,"15,584",17
尼加拉瓜,Nicaragua,"15,569",245
中非,Central Africa,"15,361",113
甘比亞,Gambia,"12,586",372
萬那杜,Vanuatu,"12,014",14
葉門,Yemen,"11,945","2,159"
索馬利蘭,Somaliland,"10,577",619
厄利垂亞,Eritrea,"10,189",103
尼日,Niger,"9,931",312
聖文森及格瑞那丁,Saint Vincent and the Grenadines,"9,581",123
安地卡及巴布達,Antigua and Barbuda,"9,106",146
葛摩,Comoros,"8,992",161
幾內亞比索,Guinea-Bissau,"8,947",176
賴比瑞亞,Liberia,"8,053",294
獅子山,Sierra Leone,"7,760",126
查德,Chad,"7,652",194
庫克群島,Cook Islands,"7,011",2
聖克里斯多福及尼維斯,Saint Kitts and Nevis,"6,592",46
聖多美普林西比,Sao Tome and Principe,"6,279",77
帛琉,Palau,"5,986",9
吉里巴斯,Kiribati,"5,008",18
諾魯,Nauru,"4,621",1
澳門,Macao,"3,487",120
吐瓦魯,Tuvalu,"2,779",0
紐埃,Niue,741,0
國際運輸工具(鑽石公主號),Int'l conveyance (Japan),741,13
教廷,Holy See,29,0
北韓,North Korea,2,1